# RNA-2Di
# Background (precomputed optional): 0.0620058 0.0761129 0.0611716 0.0535114 0.0592865 0.0534739 0.0734753 0.057648 0.0621818 0.0638177 0.0647284 0.0599396 0.064975 0.0644801 0.0447236 0.0784683 0.0000001 0.0000001 0.0000001 0.0000001 0.0000001 0.0000001 0.0000001 0.0000001 0.0000001
# Lambda     (precomputed optional): 0.346573
   A       C       D       E       F       G       H       I       K       L       M       N       P       Q       R       S       T       V       W       Y       B       J       O       U       X
A  5.5181 -4.2804 -4.5079 -4.7603 -1.4070  1.1621 -4.5374  1.3809 -3.6785 -4.1776 -1.2729 -0.6312 -1.4899 -1.7389 -3.8895 -3.1957 -2.2587 -3.3707  1.0340 -3.2811 -3.7054  1.1605 -3.5236 -1.8081 -1.0000
C -4.2804  5.4713 -0.8144  0.2772 -4.9516 -0.7130 -2.9028 -3.1351 -3.6846  0.5745  0.2247 -3.3558 -3.1629  0.3879 -3.7140 -1.8454  1.4302 -3.2912 -2.5884 -1.9567  1.2897 -3.3252 -2.3013 -2.0693 -1.0000
D -4.5079 -0.8144  5.7435  1.0496 -1.5056 -3.4806 -1.6113 -3.9888 -0.2544 -3.6084 -1.9423 -2.4215 -4.2290 -2.8001  1.1361 -1.8450 -2.6759  1.2799 -3.6670 -1.2070  1.0091 -2.9789 -2.0781 -2.2221 -1.0000
E -4.7603  0.2772  1.0496  6.0116 -3.7396 -2.9373  0.7151 -3.0717 -2.1857 -2.6712 -1.0863 -0.9403 -3.9747 -1.3817 -1.9456  0.4365 -1.6782 -1.7053 -3.2233  1.5557  1.5630 -3.0944 -1.9691 -1.5507 -1.0000
F -1.4070 -4.9516 -1.5056 -3.7396  5.8811 -1.2923 -3.7707 -4.0038  0.9261 -5.5558 -5.3951  1.1887 -4.9863 -3.6632 -0.6689 -2.0648 -3.8657  1.1582 -3.9481 -2.0966 -3.8980  1.0926 -3.7454 -2.2014 -1.0000
G  1.1621 -0.7130 -3.4806 -2.9373 -1.2923  5.8883 -4.0726 -1.5985 -3.1246 -1.7169 -3.1727 -0.0454 -4.2660  1.2452 -4.0245 -2.3513  1.1759 -2.9805 -1.9688 -2.3517 -2.5759  1.4282 -3.5200 -1.4573 -1.0000
H -4.5374 -2.9028 -1.6113  0.7151 -3.7707 -4.0726  5.6610 -3.6984 -2.8383 -0.6486 -3.3058 -1.6131 -1.7006 -2.8513  1.2448 -0.6474 -2.6188 -1.7439 -3.3105  1.0289 -1.7762 -3.4985  1.1391 -2.5088 -1.0000
I  1.3809 -3.1351 -3.9888 -3.0717 -4.0038 -1.5985 -3.6984  5.7847 -1.7448 -3.4271 -0.3530 -2.7001 -1.2746  0.9445 -3.7145 -0.8578 -1.8041 -3.3630  1.3845 -2.5820 -2.6371 -1.7304 -3.0286  1.0316 -1.0000
K -3.6785 -3.6846 -0.2544 -2.1857  0.9261 -3.1246 -2.8383 -1.7448  5.9381 -4.6094 -4.3423 -0.9102 -4.9572 -1.0632 -0.6920  1.1772 -3.1205  1.4794 -3.6807 -1.1892 -2.6168 -1.6968 -3.2742  1.0768 -1.0000
L -4.1776  0.5745 -3.6084 -2.6712 -5.5558 -1.7169 -0.6486 -3.4271 -4.6094  5.9166 -1.9737 -4.4803  0.4343 -0.9257 -1.4025 -3.3921  0.9621 -3.7940 -2.2860 -2.7980 -1.9197 -3.9827  1.0750 -3.0886 -1.0000
